fold,loss,acc,precision_macro,recall_macro,f1_macro,auc_macro
1,0.7540123480337444,92.3262839879154,90.21533986681972,87.60415019394226,88.65909568549246,0.9758831910110382
2,0.5928242363167309,94.25981873111783,93.25275874440351,89.84612086824973,91.36494644254444,0.9813991133846041
3,0.6381500240021083,93.28899637243046,91.47901552719796,89.23808634438032,90.27481919564816,0.9768583906142713
4,0.4631738455394239,93.71221281741234,93.18945825350652,89.25492743094861,90.94130340524904,0.9770945610877076
5,0.5885413215203601,93.65175332527207,91.81121210975758,90.22765441567549,90.94935340721983,0.9844906032067392
